line,company_current,company_history,year_start,year_end,status,notes
CE1,CUTCSA+COETC+UCOT,CUTCSA(2020-present); COETC(2020-present); UCOT(2020-present),2020,,active,replaced CA1 (Raincoop+CUTCSA 2008-2016); operated by all 3 current urban companies
CE2,CUTCSA,CUTCSA(2024-present),2024,,active,
D1,CUTCSA,CUTCSA(~1970-2020); CUTCSA(2025-present),~1970,,active,Directo Carrasco; replaced by DE1 (electric) 1 Jun 2020; restored as D1 13 May 2025
D2,CUTCSA+UCOT,CUTCSA(1992-2020); UCOT(1992-2020),1992,2020,inactive,shared differential created 7 Jan 1992; became 124SD variant
D4,COETC,COETC(1992-1992),1992,1992,inactive,short-lived differential from COETC ramal rojo of 68
D5,CUTCSA,CUTCSA(~2010-present),~2010,,,differential Ciudad Vieja–La Paz; no founding year documented
D8,CUTCSA,CUTCSA(1994-present),1994,,active,differential created 19 Jul 1994
D10,CUTCSA,Raincoop(1980-2016); CUTCSA(2016-present),1980,,active,created 1980s by Raincoop; to CUTCSA 14 Jun 2016
D11,COME,COME(1980-present),1980,,active,differential Ciudad Vieja–Barra de Carrasco; created 1980s
DE1,CUTCSA,CUTCSA(2020-2025),2020,2025,inactive,electric differential; replaced D1 1 Jun 2020; renamed back to D1 13 May 2025
DM1,CUTCSA+UCOT+COETC+COME,CUTCSA(2008-present); UCOT(2008-present); COETC(2008-present); COME(2008-present); Raincoop(2008-2016),2008,,active,shared metropolitan differential; also operated by COPSA
E14,CUTCSA,CUTCSA(2020-present),2020,,active,
G1,CUTCSA+COETC,CUTCSA(2012-2020); COETC(2012-2020),2012,2020,inactive,feeder to Terminal Colón; suppressed 2020
G2,CUTCSA,CUTCSA(2012-unknown),2012,,inactive,
G3,CUTCSA,CUTCSA(2012-present),2012,,active,
G4,CUTCSA+UCOT,CUTCSA(2012-2015); UCOT(2012-2015),2012,2015,inactive,feeder to Terminal Colón; suppressed 2015
G5,CUTCSA+Raincoop,CUTCSA(2012-2014); Raincoop(2012-2014),2012,2014,inactive,feeder to Terminal Colón; suppressed 2014
G6,CUTCSA,CUTCSA(2012-present),2012,,active,
G8,CUTCSA,CUTCSA(2012-present),2012,,active,
G9,CUTCSA,CUTCSA(2012-2013),2012,2013,inactive,
G10,CUTCSA,CUTCSA(2012-present),2012,,active,
G11,CUTCSA,CUTCSA(2012-present),2012,,active,
L1,CUTCSA,CUTCSA(1982-present),1982,,active,
L2,CUTCSA,CUTCSA(~2006-present),~2006,,active,
L3,CUTCSA,CUTCSA(1997-present),1997,,active,
L4,CUTCSA,CUTCSA(~2007-present),~2007,,active,
L5,CUTCSA,CUTCSA(~2007-present),~2007,,active,
L6,CUTCSA,CUTCSA(~2007-present),~2007,,active,
L7,COETC,COETC(~2008-present),~2008,,active,
L8,CUTCSA,CUTCSA(1995-present),1995,,active,"suppressed 2012-2025, reopened 2025"
L9,CUTCSA,CUTCSA(1992-present),1992,,active,"suppressed 2002-2022, reopened 2022"
L10,CUTCSA,CUTCSA(~2008-2012),~2008,2012,inactive,local line; replaced by G10 at Terminal Colón
L11,CUTCSA,CUTCSA(~2009-2012),~2009,2012,inactive,local line; replaced by G11 at Terminal Colón
L12,UCOT,Raincoop(unknown-2016); UCOT(2016-present),,2016,active,Raincoop start year unknown; UCOT took over Jun 2016 after Raincoop closure
L13,UCOT,UCOT(2008-present),2008,,active,
L14,COETC,COETC(~2009-present),~2009,,active,
L15,CUTCSA,CUTCSA(~2010-present),~2010,,active,brief 1990s run then suppressed; re-established ~2007
L16,COETC,COETC(~2010-present),~2010,,active,
L17,CUTCSA+COETC+UCOT,CUTCSA(~2006-2023); COETC(~2006-2023); UCOT(~2006-2023),~2006,2023,inactive,local Terminal Cerro; suppressed 2023
L18,CUTCSA+COETC+UCOT,CUTCSA(~2009-2023); COETC(~2009-2023); UCOT(~2009-2023),~2009,2023,inactive,local Terminal Cerro; suppressed 2023
L19,COETC,COETC(~2009-present),~2009,,active,
L20,CUTCSA,CUTCSA(2002-present),2002,,active,
L21,CUTCSA,CUTCSA(2002-2020),2002,2020,inactive,discontinued 2020
L22,CUTCSA,CUTCSA(~2006-present),~2006,,,local Gruta de Lourdes–Capra; no founding year documented
L23,CUTCSA,CUTCSA(2005-present),2005,,active,"suppressed 2020-2021, reopened 2021"
L24,COME,COME(2006-present),2006,,active,
L25,COME,UCOT(2006-2007); COME(2021-present),2006,,active,"originally UCOT (2006-07), re-created by COME in 2021"
L26,CUTCSA,CUTCSA(2005-present),2005,,active,created with Terminal del Cerro 2005; suppressed 2015; reactivated 2019
L27,CUTCSA,CUTCSA(2008-2008),2008,2008,inactive,test local; suppressed same year; extension of 127
L28,CUTCSA,CUTCSA(2000-present),2000,,active,"suppressed 2002-2019, reopened 2019"
L29,COETC,COETC(2009-present),2009,,active,replaced line 411
L30,CUTCSA,CUTCSA(~2010-present),~2010,,active,
L31,UCOT,UCOT(2017-present),2017,,active,
L32,UCOT,UCOT(2021-present),2021,,active,
L33,UCOT,UCOT(2021-present),2021,,active,
L34,CUTCSA,CUTCSA(2021-2023),2021,2023,inactive,suppressed 2023
L35,CUTCSA,CUTCSA(2020-present),2020,,active,
L36,CUTCSA,CUTCSA(2019-present),2019,,active,
L37,CUTCSA,CUTCSA(~2005-2020),~2005,2020,inactive,local Terminal Cerro-Paso de la Arena; suppressed 2020
L38,COME,COME(2021-present),2021,,active,
L39,CUTCSA,CUTCSA(2021-present),2021,,active,
L40,CUTCSA,CUTCSA(2023-present),2023,,active,
L41,CUTCSA,CUTCSA(2019-present),2019,,active,replaced ramal rojo of línea 141
L46,CUTCSA,CUTCSA(2019-present),2019,,active,
L47,Raincoop,Raincoop(~2005-2016),~2005,2016,inactive,
L48,Raincoop,Raincoop(~2006-2016),~2006,2016,inactive,
L50,Raincoop,Raincoop(~2005-2016),~2005,2016,inactive,
L63,CUTCSA,CUTCSA(~2006-2020),~2006,2020,inactive,local Terminal Cerro-Paso de la Arena; suppressed 2020 with L37
L64,CUTCSA,CUTCSA(2020-2022),2020,2022,inactive,inaugurated 19 May 2020; suppressed 22 Oct 2022
L94,CUTCSA,CUTCSA(~2008-2008),~2008,2008,inactive,
M1,CUTCSA,CUTCSA(1982-1992),1982,1992,inactive,first centric line; suppressed early 1990s
P1,CUTCSA,CUTCSA(2020-present),2020,,active,
P2,CUTCSA,CUTCSA(~1995-1999),~1995,1999,inactive,
A,CUTCSA,CUTCSA(2005-2012),2005,2012,inactive,accessible line for disabled (Transporte para todos)
B,CUTCSA,CUTCSA(2005-2012),2005,2012,inactive,accessible line for disabled (Transporte para todos)
G,COETC,COETC(2012-present),2012,,active,
PB,CUTCSA+COETC+UCOT+COME,,,,,special service operating only during Día del Patrimonio (Heritage Day)
UAM1,CUTCSA+COETC+UCOT+COME,CUTCSA(2021-2024); COETC(2021-2024); UCOT(2021-2024); COME(2021-2024),2021,2024,,special service
