INCISO;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
14 - MINISTERIO DE VIVIENDA, ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE (*3);0,003;0,004;0,004;0,007;0,018;0,018;0,058;0,120;0,151;0,415;0,415;0,492;1,18;14;24;35;8;;;;;;;;;;;;;217;5.308;16.622;32.794;75.801;89.905;789.151;976.778;1.161.826;1.246.269;1.140.533;1.256.313;1.122.254;1.080.500;1.255.258;1.106.792;1.756.046;2.368.554;2.212.305;2.577.967;3.844.562
15 - MINISTERIO DE DEPORTE Y JUVENTUD (2001-2004);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316;164.500;163.329;173.684;207.386;;;;;;
15 - MINISTERIO DE DESARROLLO SOCIAL (desde 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.070.890;2.592.428;2.406.161;1.228.284;1.595.192;1.762.540
16 - PODER JUDICIAL (*5);0,028;0,036;0,051;0,065;0,115;0,149;0,264;0,409;0,750;0,978;1,347;1,687;5,69;12;17;28;48;75;130;226;316;365;464;725;1.406;2.329;3.786;7.886;14.555;28.586;59.560;94.539;158.905;247.772;339.368;546.816;660.261;768.912;804.198;812.631;908.190;964.582;1.056.877;1.156.451;1.289.046;1.484.157;1.735.569;2.003.650;2.432.778;2.583.557
17 - TRIBUNAL DE CUENTAS;0,003;0,005;0,005;0,007;0,013;0,018;0,033;0,051;0,082;0,117;0,157;0,197;,73;2;2;3;5;7;11;17;24;27;33;46;96;275;543;998;1.788;3.480;7.648;11.664;15.194;23.716;31.310;58.259;71.770;86.109;89.956;86.883;99.700;103.197;108.744;118.778;129.698;149.440;174.080;197.680;248.726;280.222
18 - CORTE ELECTORAL;0,009;0,014;0,016;0,019;0,041;0,056;0,093;0,193;0,332;0,395;0,525;0,601;2,97;4;6;10;14;21;34;142;76;84;104;137;300;626;1.276;2.122;3.679;6.828;12.696;25.623;29.847;49.512;62.203;121.870;138.622;215.007;337.022;236.265;247.438;227.970;285.783;387.002;334.268;325.526;330.326;377.015;648.535;578.956
19 - TRIBUNAL CONTENCIOSO ADMINISTRATIVO;0,001;0,001;0,002;0,002;0,004;0,005;0,009;0,014;0,027;0,032;0,045;0,067;,21;;1;1;1;;;;;;;;21;75;116;232;421;780;1.725;2.790;4.514;7.248;9.809;17.648;20.599;23.376;24.424;25.723;29.971;31.124;31.908;34.521;36.946;42.729;46.953;58.986;66.566;78.678
20 - DESEMBOLSOS FINANCIEROS DEL ESTADO (*4);0,699;1,010;1,093;1,662;2,501;6,106;7,556;24,519;39,388;50,540;65,784;106,519;97,51;220;340;820;1.009;178;218;507;601;5.640;7.671;18.810;12.349;17.936;27.439;51.602;111.919;234.702;392.454;702.037;1.110.283;1.563.649;2.039.938;2.383.869;3.267.587;3.902.468;4.892.339;5.925.375;7.199.653;12.510.439;24.567.088;20.901.707;18.400.696;20.624.994;20.740.337;18.379.084;19.708.415;19.699.992
21 - SUBSIDIOS Y SUBVENCIONES (*8);;;;;;;;;;;;;;;;;;117;153;318;449;449;446;797;5.413;9.830;13.663;21.145;34.226;62.793;76.791;109.687;132.252;165.701;291.974;403.376;577.340;627.741;601.464;1.094.612;1.173.388;936.678;568.770;471.302;507.455;2.049.040;2.802.837;4.673.734;5.101.277;5.539.986
22 - TRANSFERENCIAS FINANCIERAS SECTOR SEGURIDAD SOCIAL;0,051;0,082;0,066;0,084;0,193;0,266;0,537;2,108;2,447;4,559;4,559;3,949;12,41;32;60;72;93;769;1.356;3.709;5.324;9.942;10.792;13.392;19.338;29.877;57.968;93.627;180.548;130.088;286.936;931.116;2.052.615;3.345.117;5.153.398;7.478.559;9.828.990;11.332.934;13.436.509;14.378.914;14.954.113;16.355.686;15.993.339;14.508.109;13.448.891;26.433.502;29.323.319;34.744.237;38.923.963;44.453.275
23 - PARTIDAS A REAPLICAR;;;;;;;;;;;;;;;;;;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
24 - DIVERSOS CREDITOS (*9);;;;;;;;;;;;;;;;;;491;669;999;1.658;2.581;2.653;3.844;11.065;22.616;41.244;69.320;114.814;166.490;370.457;662.584;1.014.767;1.293.529;2.476.704;3.425.819;4.896.265;5.712.795;5.170.508;5.058.656;5.547.954;7.157.273;10.524.989;11.743.613;13.276.363;15.824.067;19.541.157;23.115.273;26.742.357;29.635.882
25 - ADMINISTRACION NACIONAL EDUCACION PUBLICA;;;;;;;;;;;;;53,31;104;167;268;384;555;940;1.681;2.404;2.877;3.398;4.582;8.529;18.304;33.678;56.859;101.631;203.826;387.368;654.017;1.195.814;1.423.882;1.938.935;3.383.158;4.357.694;5.270.245;6.148.393;6.143.786;6.713.410;7.154.748;8.442.879;9.277.053;9.934.485;11.218.217;13.619.521;17.589.366;22.053.893;23.678.233
26 - UNIVERSIDAD DE LA REPUBLICA (*6);0,426;0,500;0,556;0,763;2,000;2,817;6,768;;;;;;13,63;25;42;72;116;171;317;456;671;739;932;1.385;2.851;7.090;12.135;18.914;34.133;65.826;145.295;242.588;319.986;539.009;755.874;1.045.542;1.240.812;1.441.704;1.533.969;1.538.004;1.814.976;1.651.228;2.058.448;2.284.472;2.455.091;2.889.060;3.541.842;4.412.539;5.435.351;5.852.856
27 - INSTITUTO DEL NI¥O Y ADOLESCENTE DEL URUGUAY (*7);;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.582;28.382;62.481;103.444;161.693;282.334;409.345;568.426;757.750;880.616;1.000.916;1.068.570;1.121.119;1.156.727;1.267.964;1.386.621;1.522.074;1.712.116;2.207.934;2.778.354;3.396.812;3.766.044
29 - ADMINISTRACIàN DE SERVICIOS DE SALUD DEL ESTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.576.352;11.740.403;13.678.270
