medicion,empresa,tipo_eleccion,anio_medicion,anio_gobierno,eleccion,fecha,partido,sigla,candidato,presidente,categoria,categoria_unificada,valor
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-10-31,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,19
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-10-31,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,31
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-10-31,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,0
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-11-30,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,54
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-11-30,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,17
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-11-30,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,29
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-11-30,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,0
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-12-31,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,58
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-12-31,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,17
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-12-31,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,25
Evaluacion de gestion presidente,Equipos,,2024,5,,2024-12-31,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,0
Evaluacion de gestion presidente,Opcion,,2025,5,,2025-02-28,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,54
Evaluacion de gestion presidente,Opcion,,2025,5,,2025-02-28,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,21
Evaluacion de gestion presidente,Opcion,,2025,5,,2025-02-28,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,23
Evaluacion de gestion presidente,Opcion,,2025,5,,2025-02-28,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,2
Evaluacion de gestion presidente,Cifra,,2025,1,,2025-03-30,Frente Amplio,FA,,Orsi,Aprueba,3,37
Evaluacion de gestion presidente,Cifra,,2025,1,,2025-03-30,Frente Amplio,FA,,Orsi,Ni aprueba ni desaprueba,2,19
Evaluacion de gestion presidente,Cifra,,2025,1,,2025-03-30,Frente Amplio,FA,,Orsi,Desaprueba,1,15
Evaluacion de gestion presidente,Cifra,,2025,1,,2025-03-30,Frente Amplio,FA,,Orsi,NS/NC,0,29
